danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.623,0.815,5,-4.828,1,0.0297,0.0712,0.000287,0.188,0.431,115.491,audio_features,4cPQjnRFb2qP52XmMLzg8F,spotify:track:4cPQjnRFb2qP52XmMLzg8F,https://api.spotify.com/v1/tracks/4cPQjnRFb2qP52XmMLzg8F,https://api.spotify.com/v1/audio-analysis/4cPQjnRFb2qP52XmMLzg8F,328600,4
0.498,0.793,5,-4.197,1,0.0315,0.0335,0.0,0.35,0.46,142.409,audio_features,1a6VLZ3BplAosOWmCcFDAW,spotify:track:1a6VLZ3BplAosOWmCcFDAW,https://api.spotify.com/v1/tracks/1a6VLZ3BplAosOWmCcFDAW,https://api.spotify.com/v1/audio-analysis/1a6VLZ3BplAosOWmCcFDAW,311773,4
0.727,0.811,0,-11.547,0,0.0385,0.245,1.22e-05,0.192,0.808,97.098,audio_features,1TYt5etb427hvOod3EKJA5,spotify:track:1TYt5etb427hvOod3EKJA5,https://api.spotify.com/v1/tracks/1TYt5etb427hvOod3EKJA5,https://api.spotify.com/v1/audio-analysis/1TYt5etb427hvOod3EKJA5,247907,4
0.733,0.566,8,-12.06,0,0.039,0.0966,0.0,0.074,0.775,141.94,audio_features,6AgDFWLbbAt2migXMbrhXT,spotify:track:6AgDFWLbbAt2migXMbrhXT,https://api.spotify.com/v1/tracks/6AgDFWLbbAt2migXMbrhXT,https://api.spotify.com/v1/audio-analysis/6AgDFWLbbAt2migXMbrhXT,275827,4
0.75,0.366,8,-10.07,1,0.0321,0.271,9.57e-05,0.106,0.477,91.138,audio_features,1KU5EHSz04JhGg3rReGJ0N,spotify:track:1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/tracks/1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/audio-analysis/1KU5EHSz04JhGg3rReGJ0N,287440,4
0.701,0.792,7,-8.644,0,0.0549,0.142,1.28e-06,0.764,0.9,133.451,audio_features,64B4UbGRLtGRBtiN2m8OvF,spotify:track:64B4UbGRLtGRBtiN2m8OvF,https://api.spotify.com/v1/tracks/64B4UbGRLtGRBtiN2m8OvF,https://api.spotify.com/v1/audio-analysis/64B4UbGRLtGRBtiN2m8OvF,257520,4
0.61,0.889,9,-9.375,1,0.0692,0.0586,1.33e-05,0.112,0.724,134.666,audio_features,0jfONt56vckywtWwm8wjki,spotify:track:0jfONt56vckywtWwm8wjki,https://api.spotify.com/v1/tracks/0jfONt56vckywtWwm8wjki,https://api.spotify.com/v1/audio-analysis/0jfONt56vckywtWwm8wjki,246853,4
0.683,0.701,1,-7.756,1,0.0471,0.0478,0.0,0.67,0.684,114.252,audio_features,3pVJdvuKppX2YVwYsfXZpq,spotify:track:3pVJdvuKppX2YVwYsfXZpq,https://api.spotify.com/v1/tracks/3pVJdvuKppX2YVwYsfXZpq,https://api.spotify.com/v1/audio-analysis/3pVJdvuKppX2YVwYsfXZpq,278267,3
0.348,0.444,9,-10.001,1,0.0288,0.0201,1.23e-05,0.0639,0.241,138.194,audio_features,56y9EmjGAAejQ6QX9blIGI,spotify:track:56y9EmjGAAejQ6QX9blIGI,https://api.spotify.com/v1/tracks/56y9EmjGAAejQ6QX9blIGI,https://api.spotify.com/v1/audio-analysis/56y9EmjGAAejQ6QX9blIGI,286040,4
0.84,0.601,6,-9.479,0,0.201,0.00203,0.00233,0.633,0.809,111.869,audio_features,5xJkY5PiDpInkBPtaArVax,spotify:track:5xJkY5PiDpInkBPtaArVax,https://api.spotify.com/v1/tracks/5xJkY5PiDpInkBPtaArVax,https://api.spotify.com/v1/audio-analysis/5xJkY5PiDpInkBPtaArVax,261627,4
0.725,0.783,10,-6.139,0,0.037,0.119,2.18e-06,0.354,0.693,107.818,audio_features,6pNvKPvOknI5zI4o9TB43f,spotify:track:6pNvKPvOknI5zI4o9TB43f,https://api.spotify.com/v1/tracks/6pNvKPvOknI5zI4o9TB43f,https://api.spotify.com/v1/audio-analysis/6pNvKPvOknI5zI4o9TB43f,272533,4
0.612,0.942,3,-4.588,1,0.0399,0.0163,3.9e-06,0.0909,0.622,144.038,audio_features,5TSANSqPTD6nBG0NSJWmVB,spotify:track:5TSANSqPTD6nBG0NSJWmVB,https://api.spotify.com/v1/tracks/5TSANSqPTD6nBG0NSJWmVB,https://api.spotify.com/v1/audio-analysis/5TSANSqPTD6nBG0NSJWmVB,281467,4
0.592,0.921,5,-4.713,1,0.0367,0.0154,1.51e-05,0.227,0.556,127.113,audio_features,2xudmLTZqwDNiDGMuOqSRD,spotify:track:2xudmLTZqwDNiDGMuOqSRD,https://api.spotify.com/v1/tracks/2xudmLTZqwDNiDGMuOqSRD,https://api.spotify.com/v1/audio-analysis/2xudmLTZqwDNiDGMuOqSRD,260573,4
0.711,0.967,7,-5.204,1,0.0474,0.0849,0.0,0.245,0.892,145.02,audio_features,38bDGWuyYdSdNfrFfbCiVS,spotify:track:38bDGWuyYdSdNfrFfbCiVS,https://api.spotify.com/v1/tracks/38bDGWuyYdSdNfrFfbCiVS,https://api.spotify.com/v1/audio-analysis/38bDGWuyYdSdNfrFfbCiVS,288400,4
0.862,0.663,0,-9.004,1,0.21,0.12,0.0,0.318,0.837,85.308,audio_features,3yNVfRQlUPViUh8O2V9SQn,spotify:track:3yNVfRQlUPViUh8O2V9SQn,https://api.spotify.com/v1/tracks/3yNVfRQlUPViUh8O2V9SQn,https://api.spotify.com/v1/audio-analysis/3yNVfRQlUPViUh8O2V9SQn,238267,4
0.712,0.785,5,-6.418,0,0.0386,0.00363,6.95e-06,0.0878,0.975,117.643,audio_features,6wBMTv8yTiNh50fqTkT0JC,spotify:track:6wBMTv8yTiNh50fqTkT0JC,https://api.spotify.com/v1/tracks/6wBMTv8yTiNh50fqTkT0JC,https://api.spotify.com/v1/audio-analysis/6wBMTv8yTiNh50fqTkT0JC,247002,4
0.4,0.563,8,-10.233,1,0.0307,0.17,0.0,0.133,0.442,138.006,audio_features,5JGdpqo9wrRtOZtui5GShI,spotify:track:5JGdpqo9wrRtOZtui5GShI,https://api.spotify.com/v1/tracks/5JGdpqo9wrRtOZtui5GShI,https://api.spotify.com/v1/audio-analysis/5JGdpqo9wrRtOZtui5GShI,245733,4
0.358,0.774,0,-6.825,1,0.0362,0.157,0.0,0.182,0.301,176.116,audio_features,3oCUfoqrkQiapnJk7UL8IE,spotify:track:3oCUfoqrkQiapnJk7UL8IE,https://api.spotify.com/v1/tracks/3oCUfoqrkQiapnJk7UL8IE,https://api.spotify.com/v1/audio-analysis/3oCUfoqrkQiapnJk7UL8IE,253760,4
0.679,0.567,5,-5.714,1,0.0251,0.142,0.0127,0.075,0.533,93.052,audio_features,3U1KpX2tBUYDSfNEulybcN,spotify:track:3U1KpX2tBUYDSfNEulybcN,https://api.spotify.com/v1/tracks/3U1KpX2tBUYDSfNEulybcN,https://api.spotify.com/v1/audio-analysis/3U1KpX2tBUYDSfNEulybcN,277507,4
0.587,0.409,9,-15.075,1,0.0279,0.0168,0.0353,0.0458,0.449,143.639,audio_features,1DTLJp3baHKyTYZMWD4zgp,spotify:track:1DTLJp3baHKyTYZMWD4zgp,https://api.spotify.com/v1/tracks/1DTLJp3baHKyTYZMWD4zgp,https://api.spotify.com/v1/audio-analysis/1DTLJp3baHKyTYZMWD4zgp,316627,4
0.626,0.667,0,-11.817,0,0.0283,0.209,0.000257,0.0779,0.83,112.776,audio_features,0yp3TvJNlG50Q4tAHWNCRm,spotify:track:0yp3TvJNlG50Q4tAHWNCRm,https://api.spotify.com/v1/tracks/0yp3TvJNlG50Q4tAHWNCRm,https://api.spotify.com/v1/audio-analysis/0yp3TvJNlG50Q4tAHWNCRm,257631,4
0.813,0.693,10,-8.0,0,0.266,0.0343,0.0,0.121,0.618,103.508,audio_features,0YEC3pNS0uIKvZb5u4lgsu,spotify:track:0YEC3pNS0uIKvZb5u4lgsu,https://api.spotify.com/v1/tracks/0YEC3pNS0uIKvZb5u4lgsu,https://api.spotify.com/v1/audio-analysis/0YEC3pNS0uIKvZb5u4lgsu,391693,4
0.727,0.528,1,-8.771,1,0.0585,0.077,0.0,0.344,0.383,96.934,audio_features,6BjqF9DTiAubeE34grUKVq,spotify:track:6BjqF9DTiAubeE34grUKVq,https://api.spotify.com/v1/tracks/6BjqF9DTiAubeE34grUKVq,https://api.spotify.com/v1/audio-analysis/6BjqF9DTiAubeE34grUKVq,304373,4
0.481,0.889,4,-7.998,0,0.076,0.101,0.0285,0.157,0.265,87.122,audio_features,6oOV3BQc3KYgxBaVZI4nRs,spotify:track:6oOV3BQc3KYgxBaVZI4nRs,https://api.spotify.com/v1/tracks/6oOV3BQc3KYgxBaVZI4nRs,https://api.spotify.com/v1/audio-analysis/6oOV3BQc3KYgxBaVZI4nRs,239360,4
0.579,0.64,10,-14.366,1,0.0352,0.0518,0.0148,0.0982,0.263,127.788,audio_features,72LKSYwvDYp9acfM5TEgBK,spotify:track:72LKSYwvDYp9acfM5TEgBK,https://api.spotify.com/v1/tracks/72LKSYwvDYp9acfM5TEgBK,https://api.spotify.com/v1/audio-analysis/72LKSYwvDYp9acfM5TEgBK,280973,4
0.782,0.881,1,-7.763,1,0.064,0.0424,0.0,0.125,0.908,102.488,audio_features,3Mn0WiIUimQrekCDxzaCGV,spotify:track:3Mn0WiIUimQrekCDxzaCGV,https://api.spotify.com/v1/tracks/3Mn0WiIUimQrekCDxzaCGV,https://api.spotify.com/v1/audio-analysis/3Mn0WiIUimQrekCDxzaCGV,218840,4
0.694,0.467,9,-14.437,1,0.0329,0.639,1.61e-05,0.0847,0.63,142.132,audio_features,1co9HQhp1tMkH3OEkb3vXV,spotify:track:1co9HQhp1tMkH3OEkb3vXV,https://api.spotify.com/v1/tracks/1co9HQhp1tMkH3OEkb3vXV,https://api.spotify.com/v1/audio-analysis/1co9HQhp1tMkH3OEkb3vXV,288763,4
0.669,0.869,0,-7.378,1,0.0525,0.0331,0.0,0.0991,0.919,107.887,audio_features,0gXTCSzaCOzNoRb9FeE62N,spotify:track:0gXTCSzaCOzNoRb9FeE62N,https://api.spotify.com/v1/tracks/0gXTCSzaCOzNoRb9FeE62N,https://api.spotify.com/v1/audio-analysis/0gXTCSzaCOzNoRb9FeE62N,241760,4
0.626,0.746,7,-8.832,1,0.0282,0.16,0.0,0.0618,0.8,102.896,audio_features,5YjKdeES9QRJ8NmF4Xc8pV,spotify:track:5YjKdeES9QRJ8NmF4Xc8pV,https://api.spotify.com/v1/tracks/5YjKdeES9QRJ8NmF4Xc8pV,https://api.spotify.com/v1/audio-analysis/5YjKdeES9QRJ8NmF4Xc8pV,310893,4
0.487,0.423,2,-8.181,1,0.0243,0.658,0.0,0.109,0.334,88.883,audio_features,5In7xBveNACCRX2uWNoPuW,spotify:track:5In7xBveNACCRX2uWNoPuW,https://api.spotify.com/v1/tracks/5In7xBveNACCRX2uWNoPuW,https://api.spotify.com/v1/audio-analysis/5In7xBveNACCRX2uWNoPuW,253507,4
0.708,0.681,1,-11.226,1,0.0422,0.0152,3.43e-05,0.0373,0.814,111.574,audio_features,6eozUVzr02EXMji1vuxgiP,spotify:track:6eozUVzr02EXMji1vuxgiP,https://api.spotify.com/v1/tracks/6eozUVzr02EXMji1vuxgiP,https://api.spotify.com/v1/audio-analysis/6eozUVzr02EXMji1vuxgiP,247840,4
0.654,0.916,11,-3.105,0,0.0564,0.00344,0.00806,0.0854,0.89,114.665,audio_features,1HN89UtrQIZANFPPZF0mXT,spotify:track:1HN89UtrQIZANFPPZF0mXT,https://api.spotify.com/v1/tracks/1HN89UtrQIZANFPPZF0mXT,https://api.spotify.com/v1/audio-analysis/1HN89UtrQIZANFPPZF0mXT,287933,4
0.632,0.928,1,-8.345,1,0.0604,0.0541,0.106,0.519,0.703,109.098,audio_features,51q3nDYWAqPY4hlgKEbP6j,spotify:track:51q3nDYWAqPY4hlgKEbP6j,https://api.spotify.com/v1/tracks/51q3nDYWAqPY4hlgKEbP6j,https://api.spotify.com/v1/audio-analysis/51q3nDYWAqPY4hlgKEbP6j,330933,4
