Song Title,Artist
A Bar Song (Tipsy),Shaboozey
Die With A Smile,Lady Gaga & Bruno Mars
Birds Of A Feather,Billie Eilish
Espresso,Sabrina Carpenter
Lose Control,Teddy Swims
I Had Some Help,Post Malone Featuring Morgan Wallen
Taste,Sabrina Carpenter
Beautiful Things,Benson Boone
Love Somebody,Morgan Wallen
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
"Good Luck, Babe!",Chappell Roan
Too Sweet,Hozier
That's So True,Gracie Abrams
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar"
APT.,ROSE & Bruno Mars
Please Please Please,Sabrina Carpenter
Not Like Us,Kendrick Lamar
I Am Not Okay,Jelly Roll
Timeless,The Weeknd & Playboi Carti
Hot To Go!,Chappell Roan
"Darling, I","Tyler, The Creator Featuring Teezo Touchdown"
Lies Lies Lies,Morgan Wallen
Tu Boda,Oscar Maydon & Fuerza Regida
Stargazing,Myles Smith
Rah Tah Tah,"Tyler, The Creator"
Sailor Song,Gigi Perez
Million Dollar Baby,Tommy Richman
"I Love You, I'm Sorry",Gracie Abrams
Like Him,"Tyler, The Creator Featuring Lola Young"
Whatchu Kno About Me,GloRilla & Sexyy Red
Miles On It,Marshmello & Kane Brown
Wildflower,Billie Eilish
Cowgirls,Morgan Wallen Featuring ERNEST
Bed Chem,Sabrina Carpenter
The Door,Teddy Swims
TGIF,GloRilla
Noid,"Tyler, The Creator"
Pink Skies,Zach Bryan
Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold"
You Look Like You Love Me,Ella Langley Featuring Riley Green
Ain't No Love In Oklahoma,Luke Combs
Austin,Dasha
I Can Do It With A Broken Heart,Taylor Swift
Who,Jimin
High Road,Koe Wetzel & Jessie Murph
Pink Pony Club,Chappell Roan
Wind Up Missin' You,Tucker Wetmore
Chill Bae,Lil Uzi Vert
Kehlani,Jordan Adetunji
Pour Me A Drink,Post Malone Featuring Blake Shelton
Dos Dias,Tito Double P & Peso Pluma
Judge Judy,"Tyler, The Creator"
Dancing In The Flames,The Weeknd
Light Year (Practice),Lil Uzi Vert
25,Rod Wave
Help Me,Real Boston Richey
It's Ok I'm Ok,Tate McRae
Disease,Lady Gaga
Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams"
Balloon,"Tyler, The Creator Featuring Doechii"
Hey Jane,"Tyler, The Creator"
Si Antes Te Hubiera Conocido,Karol G
Beautiful As You,Thomas Rhett
Shake Dat Ass (Twerk Song),BossMan Dlow
I Killed You,"Tyler, The Creator"
I'm Gonna Love You,Cody Johnson & Carrie Underwood
Juno,Sabrina Carpenter
Heart Of A Woman,Summer Walker
Residuals,Chris Brown
Diet Pepsi,Addison Rae
La Patrulla,Peso Pluma & Neton Vega
I Never Lie,Zach Top
Tomorrow,"Tyler, The Creator"
El Lokeron,Tito Double P
Close To You,Gracie Abrams
28,Zach Bryan
Sao Paulo,The Weeknd & Anitta
Nights Like This,The Kid LAROI
Mamushi,Megan Thee Stallion Featuring Yuki Chiba
South Of France,Future
Guy For That,Post Malone Featuring Luke Combs
We Good,Lil Uzi Vert
Think I'm In Love With You,Chris Stapleton
No One Noticed,The Marias
Good Graces,Sabrina Carpenter
Or What?,NLE Choppa & 41
Apple,Charli xcx
Am I Okay?,Megan Moroney
Liar,Jelly Roll
New Drop,Don Toliver
I Luv Her,GloRilla & T-Pain
Prove It,21 Savage & Summer Walker
I Hope You Find Your Way Home,"Tyler, The Creator"
No Pole,Don Toliver
2AM,BigXthaPlug
Hollon,GloRilla
Lonely Road,mgk & Jelly Roll
Change Me,BigXthaPlug
Him All Along,Gunna
Brokey,Latto
